Molecular weight,Acceptors,Donors,LogP,Molecular Refractivity,Wiener index,Ids,PD_amide,PD_positive,PD_neutral,PD_heteroatom,PD_OH,PA_amide,PA_negative,PA_neutral,PA_aromatic,Free energy,P_logp,P_MR
231.17031901609,2.0,3.0,-0.13159999999999972,60.53560000000003,461.0,2tpi,24.0,0.0,0.0,0.0,5.0,23.0,5.0,4.0,1.0,-5.8748246338333585,-0.6656124999999997,29.440790624999998
147.11280414009,2.0,3.0,-0.8515999999999999,36.0603,130.0,4tln,6.0,9.0,4.0,0.0,2.0,6.0,6.0,4.0,7.0,-5.072543999595842,-0.40371428571428547,34.96293333333334
363.05799903800005,10.0,6.0,-2.5697,76.4808,1230.0,1rnt,9.0,6.0,6.0,0.0,3.0,9.0,9.0,10.0,7.0,-7.070675361589108,-0.6199473684210521,36.1114052631579
182.08116966409,2.0,3.0,-0.37019999999999936,46.122700000000016,268.0,4ts1,11.0,4.0,5.0,1.0,4.0,12.0,11.0,10.0,5.0,-6.727787232232357,-0.4989696969696968,31.69503333333333
519.213437058,5.0,5.0,3.260600000000001,135.14120000000003,4249.0,4tmn,16.0,9.0,5.0,1.0,6.0,16.0,13.0,10.0,9.0,-13.859615939165444,-0.5039649999999998,34.127584999999996
210.07694358999998,2.0,4.0,-0.4313000000000002,47.617200000000025,256.0,2tmn,9.0,9.0,4.0,0.0,1.0,10.0,7.0,4.0,7.0,-8.023462605750094,-0.3385846153846152,35.30107692307692
541.18362801382,10.0,6.0,-1.7380999999999938,126.36600000000001,4569.0,1tlp,9.0,9.0,6.0,0.0,2.0,11.0,10.0,8.0,8.0,-10.295508305448555,-0.47704666666666645,34.96006666666667
478.23474470391,5.0,3.0,-0.3254999999999961,127.66680000000004,4017.0,1tmn,10.0,9.0,5.0,0.0,3.0,12.0,10.0,8.0,9.0,-9.952255756258811,-0.3725689655172412,35.18641379310345
471.21343705799995,5.0,5.0,2.6755000000000004,119.85520000000007,3411.0,5tmn,11.0,9.0,6.0,0.0,3.0,14.0,11.0,9.0,9.0,-10.960874922666774,-0.4190179487179485,34.84032307692308
286.22966558,1.0,1.0,5.510300000000006,93.21180000000004,1114.0,1rbp,20.0,6.0,3.0,0.0,2.0,18.0,4.0,5.0,6.0,-9.161935124753267,-0.2421418604651161,34.535393023255814
803.4819766480003,12.0,3.0,4.639000000000007,212.5923999999993,12629.0,1fkf,20.0,7.0,2.0,1.0,4.0,17.0,2.0,4.0,7.0,-12.810617488741775,-0.34229268292682913,33.54804634146341
813.5193056240003,5.0,5.0,8.875800000000003,242.1725999999991,15969.0,4er1,27.0,0.0,0.0,0.0,11.0,28.0,17.0,10.0,2.0,-9.018722241587517,-0.5905945454545453,30.928943636363638
945.5687749800002,10.0,8.0,2.3149000000000086,254.07609999999923,23633.0,5er2,26.0,1.0,1.0,0.0,11.0,28.0,17.0,12.0,3.0,-8.953907575745237,-0.607615789473684,30.53729649122807
